,date,credits_corp_f,credits_fiz_f,credits_corp_rub,credits_fiz_rub,deposits_corp_f,deposits_fiz_f,deposits_corp_rub,deposits_fiz_rub,key_rate,mp_index_banks,m0,f_currency_reserves,gold_reserves,treasures_y_r,gdp_proxy,exchange_rate
14,2016-05-01,11877.972958040613,219.2295780998884,21583.570688693264,10424.008064687934,11843.028813758867,6023.433540125869,13803.710073952567,16468.40287370325,10.736975159445164,-0.263888888888889,35008.656312003965,331487.26035466266,58896.08655753968,0.6457341842260245,101.36873631696429,67.0655442201646
15,2016-06-01,12543.11543013957,218.93689019884673,21803.142076974516,10473.788731734809,12092.823236139075,6207.551269917535,13921.877172593195,16817.03666063554,10.972775123370127,-0.23263888888888887,35700.15631200397,331762.23952132935,57144.60739087301,0.5665487241269132,101.81066287946427,67.50166640377942
16,2016-07-01,12552.797401823353,211.58443485509673,22008.95660185919,10447.134122999689,12035.161494981337,6181.44626971813,13888.990214332774,16921.479255887774,10.733379568508301,-0.080109126984127,35816.253038194445,330401.43371775793,63237.81274801587,0.5530026773771334,100.85983585565475,66.12875738463467
17,2016-08-01,12596.425115692398,213.63953639081103,22103.117740775855,10456.707278678261,11549.066936320622,6247.657078700273,14099.823456803013,17125.641473923486,10.803241900792992,-0.020585317460317443,36430.19946676587,329418.7491939484,62989.842509920636,0.6347400480483061,101.88782139136904,65.15130102933718
18,2016-09-01,12093.799392243738,197.57567574572172,21969.09296981306,10464.165404625433,10906.79249093595,5968.286999823785,13938.947797624443,17358.927377802207,10.648095676275778,0.038194444444444496,36470.48443700397,329169.74472966266,63253.39905753968,0.5934116326436758,100.15006079613096,64.4441851071775
19,2016-10-01,11803.173035217695,188.1011975217634,21816.06615523493,10441.44388619835,10651.9139237172,5977.861949427952,13971.033127436944,17556.291113047002,10.378188726341653,0.09027777777777787,36544.87506200397,334193.05202132935,67050.61259920635,0.6369922276898388,101.60212277529763,63.50396958372677
20,2016-11-01,11948.299648764572,184.7134139905134,21641.31254749535,10459.074110536892,10622.944964764076,6011.5318900425345,14112.625237259857,17769.30902964075,10.326492663060922,0.14236111111111124,36942.5990203373,328570.78118799604,65918.79489087302,0.6589892158989981,103.3479766815476,64.88441270365449
21,2016-12-01,11870.434083504153,179.79437640197173,21912.511286854726,10526.176062505643,10778.046960816158,6086.211188219619,13866.362735311943,18002.51323041679,10.256772315791233,0.1944444444444445,37110.4115203373,324772.02077132935,64418.44593253969,0.7840657317625204,97.85820704613096,62.2676909321236
22,2017-01-01,10716.949750347903,161.13849768322171,21972.39663424535,10577.942109333768,9834.4482811547,5593.728104110243,13597.954758801525,17798.959663151167,10.171567589961507,0.3611111111111111,36740.109437003965,315895.8228546627,61596.16989087302,0.7804332165255641,103.01047287946429,59.153602836645625
23,2017-02-01,10438.384708337488,152.15472794884673,22171.786367162014,10605.469074542103,10128.325318326577,5530.344510834202,13884.69235144215,18433.277052739704,10.057893118456658,0.3923611111111111,37800.9115203373,323144.7863963294,62560.18030753969,0.7469235918896167,98.28879147321429,57.83161067057133
24,2017-03-01,9939.31403213957,144.14900102176338,22275.265987787017,10662.208598948351,9506.612760560949,5344.187010615451,14010.386515739023,18658.27170010429,8.72620901586652,-0.326388888888889,38079.135478670636,329036.84889632935,66235.77926587302,1.0683425349158253,101.61604027529762,53.66767228579393
25,2017-04-01,9749.816456748946,135.03530914155505,22296.126544104725,10752.402198208767,9319.702401524492,5268.999749464409,13891.700731702567,18760.45744594804,8.844794423514427,-0.295138888888889,38249.2083953373,330267.2603546627,67024.26884920635,1.1098685542419737,101.38343162946428,54.92570669111099
26,2017-05-01,10342.686768040612,136.0426380998884,22307.792242693264,10936.578657687935,9402.819492758867,5551.864513125868,14449.324295952567,18539.65067870325,8.986975159445164,-0.263888888888889,38566.656312003965,332817.26035466266,67043.08655753967,1.1770328855247258,103.53695631696428,58.17695708566167
27,2017-06-01,10460.635937139572,132.7189021988467,22660.71957397452,11050.14199973481,9484.819973139074,5520.598499917535,14770.880293593194,18855.78338463554,9.413251313846319,-0.23263888888888887,39280.15631200397,338402.23952132935,68509.60739087302,1.2151850877632768,101.47100287946427,60.17557592758894
28,2017-07-01,11135.894657823352,141.40587985509674,22845.89130385919,11129.24533799969,10270.948589981337,5860.93562771813,14695.021227332774,19076.403191887774,9.233379568508301,-0.080109126984127,39582.253038194445,344611.43371775793,68510.81274801587,1.2630026773771335,98.87186585565475,61.483465393292676
29,2017-08-01,10552.300919692398,134.29010239081103,22869.957898775854,11248.737378678261,10136.249835320621,5623.491975700273,14911.229727803013,19157.96675792349,9.303241900792992,-0.020585317460317443,39674.19946676587,348436.7491939484,68506.84250992064,1.2956096132656973,102.50659139136904,59.82749984356643
30,2017-09-01,10012.684137243737,125.23145774572173,23085.09749481306,11354.271455625434,9636.09498693595,5429.556321823785,14770.841735624444,19320.934626802205,9.137273165453268,0.038194444444444496,39719.48443700397,349159.74472966266,72043.39905753969,1.2800782993103426,99.91615079613096,57.63167147081387
